                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.16216,                0.72222,                      1,                0.16101,             0.00016422,             0.00016422,             0.00016422
                      1,                0.07522,                0.94444,                      1,                0.11627,             0.00033226,             0.00033226,             0.00033226
                      2,                0.02339,                      1,                      1,                0.09473,              0.0004969,              0.0004969,              0.0004969
                      3,                0.00632,                0.88889,                      1,                0.11353,             0.00065815,             0.00065815,             0.00065815
                      4,                0.00621,                      1,                      1,                0.08929,             0.00068573,             0.00068573,             0.00068573
                      5,                0.00993,                0.88889,                      1,                0.11853,             0.00068573,             0.00068573,             0.00068573
                      6,                0.00287,                      1,                      1,                  0.091,             0.00067866,             0.00067866,             0.00067866
                      7,                0.00169,                      1,                      1,                0.09058,             0.00067159,             0.00067159,             0.00067159
                      8,                0.00499,                0.94444,                      1,                0.09875,             0.00066452,             0.00066452,             0.00066452
                      9,                0.00202,                0.94444,                      1,                0.10236,             0.00065745,             0.00065745,             0.00065745
                     10,                0.00138,                0.94444,                      1,                 0.1001,             0.00065038,             0.00065038,             0.00065038
                     11,                0.00234,                      1,                      1,                 0.0899,             0.00064331,             0.00064331,             0.00064331
                     12,                0.00369,                0.94444,                      1,                0.09778,             0.00063625,             0.00063625,             0.00063625
                     13,                0.00858,                0.88889,                      1,                0.11322,             0.00062918,             0.00062918,             0.00062918
                     14,                0.00537,                0.88889,                      1,                0.10999,             0.00062211,             0.00062211,             0.00062211
                     15,                0.00413,                0.94444,                      1,                0.10938,             0.00061504,             0.00061504,             0.00061504
                     16,                  0.003,                      1,                      1,                0.09827,             0.00060797,             0.00060797,             0.00060797
                     17,                0.00053,                      1,                      1,                0.09332,              0.0006009,              0.0006009,              0.0006009
                     18,                0.00152,                      1,                      1,                0.09357,             0.00059383,             0.00059383,             0.00059383
                     19,                0.00036,                      1,                      1,                0.09131,             0.00058677,             0.00058677,             0.00058677
                     20,                0.00029,                      1,                      1,                0.09131,              0.0005797,              0.0005797,              0.0005797
                     21,                  9e-05,                      1,                      1,                0.09131,             0.00057263,             0.00057263,             0.00057263
                     22,                0.00019,                      1,                      1,                0.09283,             0.00056556,             0.00056556,             0.00056556
                     23,                0.00142,                      1,                      1,                0.09296,             0.00055849,             0.00055849,             0.00055849
                     24,                0.00081,                      1,                      1,                0.09338,             0.00055142,             0.00055142,             0.00055142
                     25,                0.00114,                0.88889,                      1,                0.11353,             0.00054435,             0.00054435,             0.00054435
                     26,                0.00144,                0.88889,                      1,                0.11176,             0.00053728,             0.00053728,             0.00053728
                     27,                0.00019,                0.88889,                      1,                0.11011,             0.00053022,             0.00053022,             0.00053022
                     28,                0.00026,                0.88889,                      1,                0.10858,             0.00052315,             0.00052315,             0.00052315
                     29,                0.00014,                0.94444,                      1,                0.10864,             0.00051608,             0.00051608,             0.00051608
                     30,                0.00011,                0.94444,                      1,                0.10638,             0.00050901,             0.00050901,             0.00050901
                     31,                 0.0005,                0.94444,                      1,                0.10468,             0.00050194,             0.00050194,             0.00050194
                     32,                0.00042,                0.94444,                      1,                0.10645,             0.00049487,             0.00049487,             0.00049487
                     33,                  7e-05,                0.94444,                      1,                0.10565,              0.0004878,              0.0004878,              0.0004878
                     34,                  8e-05,                0.94444,                      1,                0.10498,             0.00048074,             0.00048074,             0.00048074
                     35,                  7e-05,                0.94444,                      1,                0.10394,             0.00047367,             0.00047367,             0.00047367
                     36,                 0.0001,                0.94444,                      1,                0.10681,              0.0004666,              0.0004666,              0.0004666
                     37,                  7e-05,                0.94444,                      1,                0.10388,             0.00045953,             0.00045953,             0.00045953
                     38,                0.00011,                0.94444,                      1,                0.10767,             0.00045246,             0.00045246,             0.00045246
                     39,                  2e-05,                0.94444,                      1,                0.10608,             0.00044539,             0.00044539,             0.00044539
                     40,                  5e-05,                0.94444,                      1,                0.10626,             0.00043832,             0.00043832,             0.00043832
                     41,                  3e-05,                0.94444,                      1,                0.10657,             0.00043126,             0.00043126,             0.00043126
                     42,                  4e-05,                0.94444,                      1,                0.10492,             0.00042419,             0.00042419,             0.00042419
                     43,                  8e-05,                0.94444,                      1,                0.10645,             0.00041712,             0.00041712,             0.00041712
                     44,                  2e-05,                0.94444,                      1,                0.10547,             0.00041005,             0.00041005,             0.00041005
                     45,                  4e-05,                0.94444,                      1,                0.10699,             0.00040298,             0.00040298,             0.00040298
                     46,                0.00014,                0.94444,                      1,                0.10724,             0.00039591,             0.00039591,             0.00039591
                     47,                  4e-05,                0.94444,                      1,                0.10565,             0.00038884,             0.00038884,             0.00038884
                     48,                  5e-05,                0.94444,                      1,                0.10602,             0.00038178,             0.00038178,             0.00038178
                     49,                  5e-05,                0.94444,                      1,                0.10608,             0.00037471,             0.00037471,             0.00037471
                     50,                  2e-05,                0.94444,                      1,                0.10706,             0.00036764,             0.00036764,             0.00036764
                     51,                  2e-05,                0.94444,                      1,                 0.1059,             0.00036057,             0.00036057,             0.00036057
                     52,                  3e-05,                0.94444,                      1,                 0.1062,              0.0003535,              0.0003535,              0.0003535
                     53,                  1e-05,                0.94444,                      1,                0.10675,             0.00034643,             0.00034643,             0.00034643
                     54,                  2e-05,                0.94444,                      1,                0.10602,             0.00033936,             0.00033936,             0.00033936
                     55,                  1e-05,                0.94444,                      1,                0.10596,              0.0003323,              0.0003323,              0.0003323
                     56,                  5e-05,                0.94444,                      1,                0.10504,             0.00032523,             0.00032523,             0.00032523
                     57,                  2e-05,                0.94444,                      1,                0.10474,             0.00031816,             0.00031816,             0.00031816
                     58,                  2e-05,                0.94444,                      1,                0.10571,             0.00031109,             0.00031109,             0.00031109
                     59,                  1e-05,                0.94444,                      1,                0.10626,             0.00030402,             0.00030402,             0.00030402
                     60,                  2e-05,                0.94444,                      1,                 0.1062,             0.00029695,             0.00029695,             0.00029695
                     61,                  2e-05,                0.94444,                      1,                0.10651,             0.00028988,             0.00028988,             0.00028988
                     62,                  2e-05,                0.94444,                      1,                0.10486,             0.00028282,             0.00028282,             0.00028282
                     63,                  2e-05,                0.94444,                      1,                 0.1051,             0.00027575,             0.00027575,             0.00027575
                     64,                  2e-05,                0.94444,                      1,                0.10583,             0.00026868,             0.00026868,             0.00026868
                     65,                  2e-05,                0.94444,                      1,                0.10577,             0.00026161,             0.00026161,             0.00026161
                     66,                  1e-05,                0.94444,                      1,                0.10645,             0.00025454,             0.00025454,             0.00025454
                     67,                  1e-05,                0.94444,                      1,                0.10602,             0.00024747,             0.00024747,             0.00024747
                     68,                  1e-05,                0.94444,                      1,                0.10571,              0.0002404,              0.0002404,              0.0002404
                     69,                  1e-05,                0.94444,                      1,                0.10602,             0.00023334,             0.00023334,             0.00023334
                     70,                  2e-05,                0.94444,                      1,                0.10596,             0.00022627,             0.00022627,             0.00022627
                     71,                  3e-05,                0.94444,                      1,                0.10681,              0.0002192,              0.0002192,              0.0002192
                     72,                  1e-05,                0.94444,                      1,                0.10553,             0.00021213,             0.00021213,             0.00021213
                     73,                  1e-05,                0.94444,                      1,                 0.1062,             0.00020506,             0.00020506,             0.00020506
                     74,                  1e-05,                0.94444,                      1,                0.10596,             0.00019799,             0.00019799,             0.00019799
